"Name","Team","PA","HR","R","RBI","AVG","OPS","playerid"
"Amed Rosario","Mets","655","15","75","72",".287",".755","15518"
"Ender Inciarte","Braves","230","5","30","24",".246",".740","4922"
"Jay Bruce","- - -","333","26","43","59",".216",".784","9892"
"David Fletcher","Angels","653","6","83","49",".290",".734","17992"
"Tim Lopes","Mariners","128","1","11","12",".270",".720","14137"
"Dansby Swanson","Braves","545","17","77","65",".251",".748","18314"
"Francisco Mejia","Padres","244","8","27","22",".265",".754","16403"
"Victor Robles","Nationals","617","17","86","65",".255",".745","18363"
"Wil Myers","Padres","490","18","58","53",".239",".739","10047"
"Josh VanMeter","Reds","260","8","33","23",".237",".735","15170"
"Pedro Severino","Orioles","341","13","37","44",".249",".740","14523"
"Trent Grisham","Brewers","183","6","24","24",".231",".738","18564"
"Curt Casali","Reds","236","8","24","32",".251",".741","12510"
"Niko Goodrum","Tigers","472","12","61","45",".248",".743","12092"
"Cesar Hernandez","Phillies","667","14","77","71",".279",".741","10556"
"Colin Moran","Pirates","503","13","46","80",".277",".751","16909"
"Jean Segura","Phillies","618","12","79","60",".280",".743","5933"
"Austin Romine","Yankees","240","8","29","35",".281",".748","5491"
"Nick Senzel","Reds","414","12","55","42",".256",".742","19293"
"Tim Beckham","Mariners","328","15","39","47",".237",".753","7949"
"Matt Carpenter","Cardinals","492","15","59","46",".226",".726","8090"
"Nick Ahmed","Diamondbacks","625","19","79","82",".254",".753","12147"
"Jordy Mercer","Tigers","271","9","24","22",".270",".747","6547"
"Travis d'Arnaud","- - -","391","16","52","69",".251",".745","7739"
"Tim Locastro","Diamondbacks","250","1","38","17",".250",".697","15124"
"Jackie Bradley Jr.","Red Sox","567","21","69","62",".225",".738","12984"
"Ryan Zimmerman","Nationals","190","6","20","27",".257",".736","4220"
"Marwin Gonzalez","Twins","463","15","52","55",".264",".736","5497"
"Willy Adames","Rays","584","20","69","52",".254",".735","15986"
"Mauricio Dubon","- - -","111","4","12","9",".274",".740","16530"
"Jorge Alfaro","Marlins","465","18","44","57",".262",".736","12180"
"Adeiny Hechavarria","- - -","221","9","34","33",".241",".742","10459"
"JaCoby Jones","Tigers","333","11","39","26",".235",".740","14818"
"Brian McCann","Braves","316","12","28","45",".249",".734","4810"
"Tyler Flowers","Braves","310","11","36","34",".229",".733","9134"
"Eric Hosmer","Padres","667","22","72","99",".265",".735","3516"
"Adam Haseley","Phillies","242","5","30","26",".266",".720","19878"
"Albert Pujols","Angels","545","23","55","93",".244",".734","1177"
"Harold Ramirez","Marlins","446","11","54","50",".276",".728","14387"
"Adam Jones","Diamondbacks","528","16","66","67",".260",".728","6368"
"Ben Gamel","Brewers","356","7","47","33",".248",".710","12160"
"Rowdy Tellez","Blue Jays","409","21","49","54",".227",".742","15679"
"Robinson Cano","Mets","423","13","46","39",".256",".736","3269"
"Tyler O'Neill","Cardinals","151","5","18","16",".262",".723","15711"
"Manny Pina","Brewers","179","7","10","25",".228",".724","2829"
"Josh Reddick","Astros","550","14","57","56",".275",".728","3892"
"Ryon Healy","Mariners","187","7","24","26",".237",".744","15447"
"Freddy Galvis","- - -","589","23","67","70",".260",".734","6609"
"Jesus Aguilar","- - -","369","12","39","50",".236",".714","11342"
"Justin Upton","Angels","256","12","34","40",".215",".724","5222"
"Austin Riley","Braves","297","18","41","49",".226",".750","18360"
"Raimel Tapia","Rockies","447","9","54","44",".275",".724","14350"
"Randal Grichuk","Blue Jays","628","31","75","80",".232",".738","10243"
"Starlin Castro","Marlins","676","22","68","86",".270",".736","4579"
"Matt Adams","Nationals","333","20","42","56",".226",".741","9393"
"Stephen Piscotty","Athletics","393","13","46","44",".249",".720","13367"
"Josh Naylor","Padres","279","8","29","32",".249",".719","18839"
"Jose Iglesias","Reds","530","11","62","59",".288",".724","10231"
"Ronald Guzman","Rangers","295","10","34","36",".219",".723","14388"
"Charlie Culberson","Braves","144","5","14","20",".259",".731","3298"
"Kevan Smith","Angels","211","5","21","20",".251",".710","12284"
"Gregory Polanco","Pirates","167","6","23","17",".242",".726","12907"
"Miguel Rojas","Marlins","526","5","52","46",".284",".710","7802"
"Tyler Wade","Yankees","108","2","16","11",".245",".692","15730"
"Brandon Dixon","Tigers","420","15","41","52",".248",".725","15214"
"Chris Iannetta","Rockies","164","6","20","21",".222",".728","8267"
"Matt Thaiss","Angels","164","8","17","23",".211",".714","19318"
"Ben Zobrist","Cubs","176","1","24","17",".260",".671","7435"
"Yadier Molina","Cardinals","452","10","45","57",".270",".711","7007"
"Lorenzo Cain","Brewers","623","11","75","48",".260",".697","9077"
"Rougned Odor","Rangers","581","30","77","93",".205",".721","12282"
"Enrique Hernandez","Dodgers","460","17","57","64",".237",".715","10472"
"Jurickson Profar","Athletics","518","20","65","67",".218",".711","10815"
"Jason Kipnis","Indians","511","17","52","65",".245",".715","9776"
"Melky Cabrera","Pirates","397","7","43","47",".280",".713","4022"
"Tucker Barnhart","Reds","364","11","32","40",".231",".708","10200"
"Ildemaro Vargas","Diamondbacks","211","6","25","24",".269",".712","13324"
"Elvis Andrus","Rangers","648","12","81","72",".275",".707","8709"
"Dwight Smith Jr.","Orioles","392","13","46","53",".241",".708","13473"
"Matt Duffy","Rays","169","1","12","12",".252",".670","13836"
"Robbie Grossman","Athletics","482","6","57","38",".240",".682","5254"
"D.J. Stewart","Orioles","142","4","15","15",".238",".698","17766"
"Dylan Moore","Mariners","282","9","31","28",".206",".691","18042"
"Tyler Austin","- - -","179","9","30","24",".188",".705","11850"
"Luis Rengifo","Angels","406","7","44","33",".238",".685","19858"
"Logan Forsythe","Rangers","367","7","38","39",".227",".678","7185"
"Yan Gomes","Nationals","358","12","36","43",".223",".704","9627"
"Adalberto Mondesi","Royals","443","9","58","62",".263",".715","13769"
"Chad Pinder","Athletics","370","13","45","47",".240",".706","15191"
"Ryan Goins","White Sox","163","2","13","10",".250",".681","9807"
"Buster Posey","Giants","445","7","43","38",".257",".688","9166"
"Kevin Pillar","- - -","645","21","83","88",".259",".719","12434"
"Didi Gregorius","Yankees","344","16","47","61",".238",".718","6012"
"Jacob Stallings","Pirates","210","6","26","13",".262",".708","13723"
"Jake Lamb","Diamondbacks","226","6","26","30",".193",".676","13329"
"Addison Russell","Cubs","241","9","25","23",".237",".699","14106"
"Jake Marisnick","Astros","318","10","46","34",".233",".700","11339"
"Ty France","Padres","201","7","20","24",".234",".696","17982"
"Jake Bauers","Indians","423","12","46","43",".226",".683","15194"
"J.P. Crawford","Mariners","396","7","43","46",".226",".684","15491"
"Manuel Margot","Padres","441","12","59","37",".234",".691","14712"
"Adam Engel","White Sox","248","6","26","26",".242",".687","15082"
"Russell Martin","Dodgers","249","6","29","20",".220",".667","4616"
"Delino DeShields","Rangers","408","4","42","32",".249",".672","11379"
"Leury Garcia","White Sox","618","8","93","40",".279",".688","5913"
"Cam Gallagher","Royals","142","3","14","12",".238",".677","12981"
"Luis Urias","Padres","249","4","27","24",".223",".655","16622"
"Rio Ruiz","Orioles","413","12","35","46",".232",".682","14103"
"Christin Stewart","Tigers","416","10","32","40",".233",".693","17714"
"Harrison Bader","Cardinals","406","12","54","39",".205",".680","18030"
"Harold Castro","Tigers","369","5","30","38",".291",".689","14691"
"Matt Wieters","Cardinals","183","11","15","27",".214",".702","4298"
"Garrett Hampson","Rockies","327","8","40","27",".247",".686","19262"
"Billy McKinney","Blue Jays","276","12","37","28",".215",".696","15654"
"Nick Martini","- - -","109","1","8","7",".226",".653","12005"
"Josh Phegley","Athletics","342","12","44","62",".239",".693","9308"
"Guillermo Heredia","Rays","231","5","31","20",".225",".668","18721"
"Joey Rickard","- - -","189","3","14","10",".226",".669","13277"
"Andrelton Simmons","Angels","424","7","47","40",".264",".673","10847"
"Tony Wolters","Rockies","411","1","42","42",".262",".666","11470"
"Roman Quinn","Phillies","122","4","18","11",".213",".668","13546"
"Khris Davis","Athletics","533","23","61","73",".220",".679","9112"
"Kyle Farmer","Reds","197","9","22","27",".230",".689","14813"
"Willians Astudillo","Twins","204","4","28","21",".268",".678","15608"
"Martin Maldonado","- - -","374","12","46","27",".213",".671","6887"
"Gerardo Parra","- - -","301","9","38","48",".234",".684","8553"
"Cheslor Cuthbert","Royals","330","9","24","40",".246",".673","10473"
"Welington Castillo","White Sox","251","12","19","41",".209",".684","3256"
"Steve Wilkerson","Orioles","361","10","41","35",".225",".669","16041"
"Jonathan Lucroy","- - -","328","8","30","36",".232",".660","7870"
"Tony Kemp","- - -","279","8","31","29",".212",".671","14894"
"Zack Collins","White Sox","102","3","10","12",".186",".656","19181"
"Francisco Cervelli","- - -","160","3","15","12",".213",".649","5275"
"Derek Fisher","- - -","167","7","23","17",".185",".657","16192"
"Kevin Kiermaier","Rays","480","14","60","55",".228",".676","11038"
"Joe Panik","- - -","491","5","50","39",".244",".651","11936"
"Jeimer Candelario","Tigers","386","8","33","32",".203",".643","13621"
"Ronny Rodriguez","Tigers","294","14","29","43",".221",".690","11875"
"Dee Gordon","Mariners","421","3","36","34",".275",".663","8203"
"Andrew Knapp","Phillies","160","2","12","8",".213",".642","14942"
"Maikel Franco","Phillies","428","17","48","56",".234",".705","12179"
"Yolmer Sanchez","White Sox","555","2","59","43",".252",".638","11602"
"Brandon Crawford","Giants","560","11","58","59",".228",".654","5343"
"Yairo Munoz","Cardinals","181","2","20","13",".267",".653","16313"
"Jarrod Dyson","Diamondbacks","452","7","65","27",".230",".633","4866"
"Ryan Cordell","White Sox","247","7","22","24",".221",".645","15181"
"Josh Rojas","Diamondbacks","157","2","17","16",".217",".624","19734"
"Johan Camargo","Braves","248","7","31","32",".233",".663","14950"
"Ryan O'Hearn","Royals","370","14","32","38",".195",".650","16442"
"Mallex Smith","Mariners","566","6","70","37",".227",".635","13608"
"Yonder Alonso","- - -","335","10","34","37",".199",".641","2530"
"Ian Kinsler","Padres","281","9","28","22",".217",".646","6195"
"Austin Dean","Marlins","189","6","17","21",".225",".665","18288"
"Jon Jay","White Sox","182","0","12","9",".267",".626","5227"
"Curtis Granderson","Marlins","363","12","44","34",".183",".637","4747"
"Joey Wendle","Rays","263","3","32","19",".231",".633","13853"
"Danny Jansen","Blue Jays","384","13","41","43",".207",".640","16535"
"Daniel Robertson","Rays","237","2","23","19",".213",".607","14145"
"Gordon Beckham","Tigers","240","6","29","15",".215",".643","9015"
"Jose Trevino","Rangers","126","2","18","13",".258",".655","16725"
"Greg Allen","Indians","256","4","30","27",".229",".636","16623"
"Tyler White","- - -","279","3","18","23",".208",".612","15564"
"Kevin Plawecki","Indians","174","3","13","17",".222",".629","13807"
"Sam Travis","Red Sox","157","6","17","16",".215",".656","16263"
"Odubel Herrera","Phillies","139","1","12","16",".222",".629","11476"
"Travis Demeritte","Tigers","186","3","24","10",".225",".630","15958"
"Jose Peraza","Reds","403","6","37","33",".239",".631","13593"
"Isiah Kiner-Falefa","Rangers","222","1","23","21",".238",".620","16512"
"Dawel Lugo","Tigers","288","6","28","26",".245",".652","14713"
"Austin Barnes","Dodgers","242","5","28","25",".203",".633","12158"
"Brandon Drury","Blue Jays","447","15","43","41",".218",".642","11615"
"Albert Almora Jr.","Cubs","363","12","41","32",".236",".651","14109"
"Hernan Perez","Brewers","246","8","29","18",".228",".642","5751"
"Willi Castro","Tigers","110","1","10","8",".230",".624","17338"
"Wilmer Difo","Nationals","144","2","15","8",".252",".628","14320"
"Leonys Martin","Indians","264","9","32","19",".199",".619","11846"
"Orlando Arcia","Brewers","546","15","51","59",".223",".633","13185"
"Mark Reynolds","Rockies","162","4","13","20",".170",".601","7619"
"Cory Spangenberg","Brewers","102","2","11","10",".232",".635","12294"
"Justin Bour","Angels","170","8","18","26",".172",".623","9744"
"Marco Hernandez","Red Sox","155","2","18","11",".250",".617","13154"
"Steven Duggar","Giants","281","4","26","28",".234",".619","17719"
"Elias Diaz","Pirates","332","2","31","28",".241",".603","11680"
"Cole Tucker","Pirates","159","2","16","13",".211",".626","17326"
"Kendrys Morales","- - -","201","2","16","12",".194",".566","8610"
"Rosell Herrera","Marlins","119","2","10","11",".200",".602","11611"
"Chris Davis","Orioles","352","12","26","36",".179",".601","9272"
"Erik Gonzalez","Pirates","156","1","15","6",".254",".618","13369"
"Pablo Reyes","Pirates","157","2","18","19",".203",".596","16357"
"Nicky Lopez","Royals","402","2","44","30",".240",".601","19339"
"John Hicks","Tigers","333","13","29","35",".210",".620","12547"
"Jace Peterson","Orioles","108","2","14","11",".220",".599","12325"
"Juan Lagares","Mets","285","5","38","27",".213",".605","5384"
"Jung Ho Kang","Pirates","185","10","15","24",".169",".617","17182"
"Charlie Tilson","White Sox","157","1","16","12",".229",".578","12983"
"Carlos Gonzalez","- - -","166","3","21","10",".200",".572","7287"
"Richie Martin Jr.","Orioles","309","6","29","23",".208",".581","17736"
"Billy Hamilton","- - -","353","0","41","15",".218",".564","10199"
"J.T. Riddle","Marlins","139","6","15","12",".189",".601","17642"
"Isan Diaz","Marlins","201","5","17","23",".173",".566","17922"
"Travis Shaw","Brewers","270","7","22","16",".157",".551","11982"
"Bubba Starling","Royals","197","4","26","12",".215",".572","13356"
"Lucas Duda","Royals","119","4","7","15",".171",".576","2502"
"Martin Prado","Marlins","260","2","26","15",".233",".559","3312"
"Austin Hedges","Padres","347","11","28","36",".176",".563","12976"
"Grayson Greiner","Tigers","224","5","18","19",".202",".559","17062"
"Jose Rondon","- - -","157","3","10","9",".196",".543","14140"
"Scooter Gennett","- - -","139","2","15","11",".226",".568","10339"
"Sandy Leon","Red Sox","191","5","14","19",".192",".548","5273"
"Daniel Descalso","Cubs","194","2","20","15",".173",".521","8392"
"Meibrys Viloria","Royals","148","1","7","15",".211",".544","17109"
"Mike Zunino","Rays","289","9","30","32",".165",".544","13265"
"Eduardo Nunez","Red Sox","174","2","13","20",".228",".548","6848"
"Mac Williamson","- - -","144","4","13","17",".156",".508","14158"
"Keon Broxton","- - -","228","6","24","16",".167",".517","9253"
"Tomas Nido","Mets","144","4","9","14",".191",".547","13755"
"Jedd Gyorko","- - -","101","2","6","9",".174",".498","10816"
"Humberto Arteaga","Royals","135","0","11","4",".197",".487","13595"
"Yonathan Daza","Rockies","105","0","7","3",".206",".494","15794"
"Jake Rogers","Tigers","128","4","11","8",".125",".481","19452"
"Josh Harrison","Tigers","147","1","10","8",".175",".480","8202"
"Lewis Brinson","Marlins","248","0","15","15",".173",".457","14352"
"Chris Owings","- - -","196","3","13","14",".139",".443","10030"
"Luke Maile","Blue Jays","129","2","9","9",".151",".440","13355"
"Nick Williams","Phillies","112","2","9","5",".151",".442","14330"
"Jeff Mathis","Rangers","244","2","17","12",".158",".433","3448"
"Max Stassi","- - -","147","1","7","5",".136",".378","10059"
"Zack Cozart","Angels","107","0","4","7",".124",".322","2616"
